,Fan,Refrigerator,AirConditioner,Television,Monitor,Month,City,Company,MonthlyHours,TariffRate,ElectricityBill
5877,23,22.0,3.0,14.0,1.0,8,Chennai,Indowind Energy,493,8.8,4338.400000000001
5878,11,23.0,1.0,16.0,1.0,9,Ahmedabad,Bonfiglioli Transmission Pvt. Ltd.,616,7.9,4866.400000000001
5879,9,20.0,3.0,12.0,1.0,11,Gurgaon,Ratnagiri Gas and Power Pvt. Ltd. (RGPPL),524,8.3,4349.200000000001
5880,15,23.0,3.0,4.0,1.0,12,Mumbai,TransRail Lighting,465,9.2,4278.0
5881,22,22.0,2.0,3.0,1.0,4,Navi Mumbai,Torrent Power Ltd.,596,9.3,5542.8
5882,6,17.0,1.0,14.0,1.0,5,Vadodara,SJVN Ltd.,401,7.8,3127.8
5883,22,22.0,3.0,17.0,1.0,11,Kolkata,Power Grid Corp,556,8.7,4837.2
5884,14,23.0,2.0,17.0,12.0,1,Gurgaon,TransRail Lighting,615,8.3,5104.5
5885,15,23.0,3.0,8.0,1.0,8,Hyderabad,Orient Green,637,8.4,5350.8
5886,17,23.0,0.0,3.0,1.0,8,Shimla,SJVN Ltd.,422,7.7,3249.4
5887,20,23.0,1.0,11.0,1.0,2,Hyderabad,Bonfiglioli Transmission Pvt. Ltd.,586,8.4,4922.400000000001
5888,13,23.0,2.0,17.0,12.0,8,Shimla,GE T&D India Limited,794,7.7,6113.8
5889,5,20.0,2.0,21.0,7.0,12,Mumbai,Tata Power Company Ltd.,537,9.2,4940.4
5890,23,23.0,3.0,17.0,1.0,10,Hyderabad,Adani Power Ltd.,745,8.4,6258.0
5891,10,18.0,1.0,18.0,1.0,12,Ahmedabad,Unitech Power Transmission Ltd.,504,7.9,3981.6
5892,20,22.0,3.0,15.0,1.0,5,Mumbai,Jaiprakash Power,651,9.2,5989.2
5893,21,22.0,0.0,15.0,1.0,7,Mumbai,Reliance Power,620,9.2,5704.0
5894,9,22.0,0.0,6.0,1.0,11,Nagpur,Indowind Energy,408,8.9,3631.2
5895,19,23.0,1.0,11.0,1.0,10,Noida,CESC,417,8.2,3419.4
5896,11,22.0,1.0,19.0,12.0,2,Pune,Kalpataru Power,508,9.1,4622.8
5897,8,22.0,3.0,12.0,7.0,5,Ratnagiri,Ratnagiri Gas and Power Pvt. Ltd. (RGPPL),489,7.4,3618.6
5898,15,22.0,0.0,10.0,1.0,5,Faridabad,Optibelt Power Transmission India Private Limited,393,8.1,3183.3
5899,5,17.0,3.0,4.0,1.0,3,Noida,"Maha Transco – Maharashtra State Electricity Transmission Co, Ltd.",433,8.2,3550.6
5900,6,22.0,2.0,12.0,1.0,2,Noida,Reliance Power,444,8.2,3640.8
5901,8,21.0,3.0,16.0,1.0,1,Dahej,Unitech Power Transmission Ltd.,647,7.6,4917.2
5902,14,23.0,1.0,20.0,1.0,8,Ratnagiri,Unitech Power Transmission Ltd.,710,7.4,5254.0
5903,15,22.0,2.0,14.0,1.0,12,Chennai,Reliance Power,680,8.8,5984.000000000001
5904,21,22.0,0.0,22.0,12.0,8,Gurgaon,Bonfiglioli Transmission Pvt. Ltd.,733,8.3,6083.900000000001
5905,12,22.0,3.0,21.0,1.0,2,Kolkata,GE T&D India Limited,595,8.7,5176.5
5906,7,21.0,2.0,12.0,7.0,4,Noida,Power Grid Corp,547,8.2,4485.4
5907,6,23.0,3.0,10.0,7.0,1,Chennai,NTPC Pvt. Ltd.,683,8.8,6010.400000000001
5908,6,18.0,3.0,10.0,1.0,3,Ahmedabad,Jaiprakash Power,456,7.9,3602.4
5909,17,23.0,0.0,13.0,1.0,3,Mumbai,NTPC Pvt. Ltd.,617,9.2,5676.4
5910,21,23.0,3.0,20.0,1.0,10,Faridabad,TransRail Lighting,616,8.1,4989.599999999999
5911,16,22.0,1.0,14.0,1.0,12,New Delhi,Toshiba Transmission & Distribution Systems (India) Pvt. Ltd.,577,8.5,4904.5
5912,11,22.0,2.0,14.0,1.0,7,Ratnagiri,Bonfiglioli Transmission Pvt. Ltd.,467,7.4,3455.8
5913,13,22.0,3.0,19.0,1.0,3,New Delhi,GE T&D India Limited,560,8.5,4760.0
5914,10,19.0,1.0,15.0,7.0,1,Noida,SJVN Ltd.,485,8.2,3977.0
5915,23,22.0,3.0,16.0,1.0,1,Nagpur,Toshiba Transmission & Distribution Systems (India) Pvt. Ltd.,605,8.9,5384.5
5916,18,23.0,0.0,10.0,1.0,12,Ahmedabad,Ringfeder Power Transmission India Pvt. Ltd.,612,7.9,4834.8
5917,17,22.0,0.0,15.0,1.0,7,Ratnagiri,Toshiba Transmission & Distribution Systems (India) Pvt. Ltd.,383,7.4,2834.2000000000003
5918,8,17.0,2.0,11.0,1.0,5,Faridabad,Indowind Energy,366,8.1,2964.6
5919,8,19.0,2.0,19.0,1.0,3,Ahmedabad,Reliance Power,518,7.9,4092.2
5920,22,22.0,1.0,8.0,1.0,4,Faridabad,Ratnagiri Gas and Power Pvt. Ltd. (RGPPL),474,8.1,3839.4
5921,22,22.0,3.0,14.0,1.0,2,Pune,Ringfeder Power Transmission India Pvt. Ltd.,603,9.1,5487.3
5922,7,17.0,3.0,5.0,1.0,9,Ahmedabad,Ringfeder Power Transmission India Pvt. Ltd.,331,7.9,2614.9
5923,19,22.0,0.0,20.0,12.0,11,Gurgaon,Bonfiglioli Transmission Pvt. Ltd.,736,8.3,6108.8
5924,6,17.0,3.0,15.0,1.0,6,Pune,"Maha Transco – Maharashtra State Electricity Transmission Co, Ltd.",475,9.1,4322.5
5925,5,18.0,3.0,4.0,1.0,2,Nagpur,CESC,190,8.9,1691.0
5926,14,23.0,0.0,12.0,1.0,4,Navi Mumbai,GE T&D India Limited,542,9.3,5040.6
5927,12,23.0,2.0,18.0,1.0,4,Shimla,SJVN Ltd.,428,7.7,3295.6
5928,13,23.0,2.0,11.0,1.0,7,Gurgaon,Sunil Hitech Eng,570,8.3,4731.0
5929,19,22.0,2.0,11.0,1.0,7,Ratnagiri,Orient Green,632,7.4,4676.8
5930,17,23.0,3.0,5.0,1.0,11,Faridabad,"Maha Transco – Maharashtra State Electricity Transmission Co, Ltd.",492,8.1,3985.2
5931,19,23.0,1.0,17.0,1.0,11,Pune,Jaiprakash Power,606,9.1,5514.599999999999
5932,23,22.0,2.0,5.0,1.0,1,Chennai,Orient Green,437,8.8,3845.6
5933,18,22.0,3.0,5.0,1.0,12,Dahej,Orient Green,499,7.6,3792.4
5934,10,22.0,2.0,12.0,1.0,10,Dahej,NTPC Pvt. Ltd.,533,7.6,4050.8
5935,9,20.0,2.0,5.0,1.0,7,Gurgaon,NLC India,503,8.3,4174.900000000001
5936,7,23.0,3.0,4.0,1.0,10,Ratnagiri,"Maha Transco – Maharashtra State Electricity Transmission Co, Ltd.",315,7.4,2331.0
5937,15,22.0,1.0,15.0,1.0,1,Pune,Reliance Power,502,9.1,4568.2
5938,10,20.0,1.0,6.0,1.0,1,Dahej,Adani Power Ltd.,500,7.6,3800.0
5939,7,17.0,0.0,12.0,1.0,9,Nagpur,Jyoti Structure,251,8.9,2233.9
5940,14,23.0,2.0,19.0,1.0,10,Pune,JSW Energy Ltd.,499,9.1,4540.9
5941,17,23.0,0.0,5.0,12.0,7,Hyderabad,SJVN Ltd.,539,8.4,4527.6
5942,21,23.0,2.0,10.0,1.0,1,Faridabad,L&T Transmission & Distribution,432,8.1,3499.2
5943,13,22.0,0.0,16.0,1.0,3,Navi Mumbai,Reliance Power,446,9.3,4147.8
5944,18,23.0,1.0,5.0,1.0,10,Faridabad,Jyoti Structure,514,8.1,4163.4
5945,12,22.0,1.0,12.0,1.0,9,Shimla,Tata Power Company Ltd.,413,7.7,3180.1
5946,22,22.0,0.0,3.0,1.0,11,Mumbai,Indowind Energy,475,9.2,4370.0
5947,7,21.0,3.0,3.0,7.0,4,Ahmedabad,Orient Green,369,7.9,2915.1
5948,9,22.0,1.0,21.0,7.0,7,Ahmedabad,GE T&D India Limited,684,7.9,5403.6
5949,6,22.0,0.0,8.0,1.0,4,Kolkata,Torrent Power Ltd.,434,8.7,3775.8
5950,18,22.0,3.0,6.0,12.0,2,Mumbai,Jaiprakash Power,500,9.2,4600.0
5951,23,23.0,0.0,11.0,1.0,4,Faridabad,NTPC Pvt. Ltd.,544,8.1,4406.4
5952,23,23.0,2.0,11.0,1.0,12,Faridabad,Jyoti Structure,514,8.1,4163.4
5953,9,20.0,3.0,16.0,1.0,11,Mumbai,Ratnagiri Gas and Power Pvt. Ltd. (RGPPL),477,9.2,4388.4
5954,16,23.0,3.0,12.0,12.0,5,New Delhi,Optibelt Power Transmission India Private Limited,653,8.5,5550.5
5955,18,22.0,2.0,11.0,1.0,12,Faridabad,Bonfiglioli Transmission Pvt. Ltd.,468,8.1,3790.8
5956,20,22.0,1.0,22.0,1.0,1,Shimla,Bonfiglioli Transmission Pvt. Ltd.,737,7.7,5674.900000000001
5957,5,17.0,2.0,15.0,1.0,11,Pune,Torrent Power Ltd.,351,9.1,3194.1
5958,10,17.0,1.0,3.0,1.0,11,Noida,Ringfeder Power Transmission India Pvt. Ltd.,399,8.2,3271.8
5959,7,17.0,0.0,17.0,1.0,4,Noida,Ringfeder Power Transmission India Pvt. Ltd.,289,8.2,2369.8
5960,5,17.0,1.0,15.0,1.0,3,Kolkata,"Maha Transco – Maharashtra State Electricity Transmission Co, Ltd.",355,8.7,3088.4999999999995
5961,18,23.0,3.0,22.0,1.0,5,Kolkata,GE T&D India Limited,651,8.7,5663.7
5962,15,22.0,2.0,3.0,1.0,3,Noida,L&T Transmission & Distribution,340,8.2,2787.9999999999995
5963,13,23.0,1.0,15.0,12.0,11,Gurgaon,Neueon Towers / Sujana Towers Ltd.,492,8.3,4083.6
5964,7,21.0,0.0,15.0,1.0,3,Faridabad,KEC International,517,8.1,4187.7
5965,18,23.0,2.0,22.0,1.0,9,Ratnagiri,Ringfeder Power Transmission India Pvt. Ltd.,616,7.4,4558.400000000001
5966,16,23.0,2.0,11.0,1.0,3,Navi Mumbai,Jaiprakash Power,457,9.3,4250.1
5967,17,23.0,1.0,22.0,1.0,11,Mumbai,Indowind Energy,575,9.2,5290.0
5968,18,22.0,1.0,16.0,12.0,5,Navi Mumbai,Reliance Power,536,9.3,4984.8
5969,23,23.0,3.0,13.0,1.0,7,Vadodara,Kalpataru Power,737,7.8,5748.599999999999
5970,23,23.0,3.0,16.0,1.0,7,Pune,Adani Power Ltd.,649,9.1,5905.9
5971,21,22.0,1.0,10.0,12.0,4,Gurgaon,Orient Green,651,8.3,5403.3
5972,10,20.0,0.0,13.0,1.0,7,Nagpur,Jaiprakash Power,398,8.9,3542.2000000000003
5973,19,23.0,1.0,17.0,12.0,11,Pune,Sterlite Power Transmission Ltd,740,9.1,6734.0
5974,5,22.0,0.0,6.0,1.0,11,Gurgaon,NLC India,428,8.3,3552.4
5975,17,22.0,2.0,15.0,1.0,5,Faridabad,NTPC Pvt. Ltd.,561,8.1,4544.099999999999
5976,15,23.0,1.0,11.0,1.0,10,Navi Mumbai,SJVN Ltd.,512,9.3,4761.6
5977,18,22.0,2.0,17.0,12.0,5,Navi Mumbai,Reliance Energy,819,9.3,7616.700000000001
5978,18,23.0,2.0,5.0,1.0,7,Dahej,L&T Transmission & Distribution,373,7.6,2834.8
5979,8,21.0,0.0,15.0,1.0,12,Gurgaon,NTPC Pvt. Ltd.,350,8.3,2905.0000000000005
5980,9,18.0,1.0,5.0,1.0,10,Hyderabad,Reliance Energy,433,8.4,3637.2
5981,14,22.0,0.0,7.0,1.0,9,Noida,NTPC Pvt. Ltd.,267,8.2,2189.4
5982,7,17.0,2.0,5.0,7.0,6,Gurgaon,JSW Energy Ltd.,322,8.3,2672.6000000000004
5983,8,17.0,3.0,9.0,1.0,11,Gurgaon,Toshiba Transmission & Distribution Systems (India) Pvt. Ltd.,260,8.3,2158.0
5984,9,23.0,3.0,5.0,1.0,2,Nagpur,NTPC Pvt. Ltd.,471,8.9,4191.900000000001
5985,15,23.0,2.0,13.0,1.0,2,Hyderabad,Indowind Energy,553,8.4,4645.2
5986,17,22.0,0.0,16.0,1.0,12,Shimla,Reliance Energy,542,7.7,4173.400000000001
5987,16,23.0,0.0,7.0,1.0,12,Chennai,Reliance Energy,431,8.8,3792.8
5988,11,23.0,1.0,4.0,1.0,11,Chennai,Toshiba Transmission & Distribution Systems (India) Pvt. Ltd.,527,8.8,4637.6
5989,9,21.0,3.0,16.0,1.0,2,Mumbai,L&T Transmission & Distribution,409,9.2,3762.8
5990,14,23.0,0.0,18.0,1.0,8,Vadodara,Ringfeder Power Transmission India Pvt. Ltd.,477,7.8,3720.6
5991,7,20.0,3.0,5.0,1.0,7,Kolkata,Reliance Power,508,8.7,4419.599999999999
5992,6,20.0,3.0,3.0,1.0,10,Noida,TransRail Lighting,274,8.2,2246.8
5993,5,20.0,2.0,19.0,1.0,8,Pune,CESC,582,9.1,5296.2
5994,15,23.0,0.0,7.0,1.0,12,Faridabad,Reliance Energy,299,8.1,2421.9
5995,20,22.0,0.0,20.0,1.0,3,Pune,Jaiprakash Power,588,9.1,5350.8
5996,11,22.0,2.0,19.0,1.0,4,Gurgaon,Guj Ind Power,446,8.3,3701.8
5997,21,22.0,3.0,14.0,1.0,11,Ratnagiri,Jyoti Structure,528,7.4,3907.2
5998,18,22.0,3.0,5.0,1.0,11,Dahej,Kalpataru Power,515,7.6,3914.0
5999,20,22.0,3.0,15.0,1.0,3,Navi Mumbai,Tata Power Company Ltd.,702,9.3,6528.6
6000,11,23.0,1.0,15.0,12.0,3,Hyderabad,Sunil Hitech Eng,709,8.4,5955.6
6001,22,23.0,1.0,21.0,1.0,3,Pune,Unitech Power Transmission Ltd.,774,9.1,7043.4
6002,8,21.0,3.0,21.0,1.0,9,Nagpur,Guj Ind Power,565,8.9,5028.5
6003,7,20.0,0.0,20.0,1.0,3,New Delhi,Torrent Power Ltd.,450,8.5,3825.0
6004,21,23.0,2.0,10.0,12.0,7,Hyderabad,Reliance Energy,582,8.4,4888.8
6005,20,23.0,2.0,8.0,12.0,12,Kolkata,Neueon Towers / Sujana Towers Ltd.,724,8.7,6298.799999999999
6006,13,23.0,0.0,14.0,12.0,12,Pune,Guj Ind Power,628,9.1,5714.8
6007,13,22.0,0.0,3.0,12.0,2,Kolkata,NLC India,402,8.7,3497.4
6008,6,17.0,2.0,9.0,1.0,10,Shimla,Optibelt Power Transmission India Private Limited,392,7.7,3018.4
6009,10,18.0,1.0,19.0,1.0,8,Gurgaon,CESC,585,8.3,4855.5
6010,16,22.0,1.0,10.0,1.0,7,Vadodara,Jyoti Structure,577,7.8,4500.599999999999
6011,20,22.0,2.0,18.0,1.0,5,Mumbai,L&T Transmission & Distribution,592,9.2,5446.4
6012,21,23.0,2.0,17.0,12.0,1,Vadodara,CESC,800,7.8,6240.0
6013,12,23.0,0.0,18.0,1.0,1,Nagpur,Neueon Towers / Sujana Towers Ltd.,633,8.9,5633.7
6014,18,23.0,1.0,9.0,12.0,12,Pune,Ratnagiri Gas and Power Pvt. Ltd. (RGPPL),747,9.1,6797.7
6015,8,20.0,1.0,10.0,7.0,9,Dahej,L&T Transmission & Distribution,439,7.6,3336.4
6016,13,22.0,1.0,14.0,1.0,6,Hyderabad,L&T Transmission & Distribution,484,8.4,4065.6
6017,10,22.0,1.0,18.0,7.0,3,Gurgaon,Bonfiglioli Transmission Pvt. Ltd.,472,8.3,3917.6
6018,12,23.0,2.0,12.0,1.0,12,Vadodara,Sterlite Power Transmission Ltd,571,7.8,4453.8
6019,21,22.0,3.0,12.0,1.0,7,Ratnagiri,CESC,466,7.4,3448.4
6020,13,22.0,1.0,3.0,12.0,2,Mumbai,Reliance Power,414,9.2,3808.8
6021,5,23.0,2.0,10.0,1.0,6,Pune,Sterlite Power Transmission Ltd,420,9.1,3822.0
6022,8,19.0,3.0,11.0,1.0,1,Vadodara,Indowind Energy,514,7.8,4009.2
6023,13,23.0,3.0,3.0,1.0,11,Ratnagiri,Jaiprakash Power,412,7.4,3048.8
6024,18,22.0,0.0,7.0,12.0,12,Navi Mumbai,Neueon Towers / Sujana Towers Ltd.,410,9.3,3813.000000000001
6025,6,21.0,0.0,13.0,7.0,6,Shimla,Indowind Energy,444,7.7,3418.8
6026,9,19.0,3.0,15.0,1.0,6,Noida,Kalpataru Power,571,8.2,4682.2
6027,11,22.0,1.0,17.0,1.0,9,Ahmedabad,Ringfeder Power Transmission India Pvt. Ltd.,516,7.9,4076.4
6028,22,23.0,1.0,11.0,1.0,12,Nagpur,Ringfeder Power Transmission India Pvt. Ltd.,615,8.9,5473.5
6029,22,23.0,0.0,20.0,1.0,4,Ahmedabad,"Maha Transco – Maharashtra State Electricity Transmission Co, Ltd.",694,7.9,5482.6
6030,19,23.0,2.0,22.0,12.0,11,Dahej,Indowind Energy,807,7.6,6133.2
6031,10,20.0,3.0,22.0,7.0,10,Nagpur,CESC,747,8.9,6648.3
6032,20,22.0,0.0,21.0,12.0,5,Ahmedabad,CESC,632,7.9,4992.8
6033,22,22.0,2.0,19.0,1.0,4,Faridabad,Ratnagiri Gas and Power Pvt. Ltd. (RGPPL),696,8.1,5637.599999999999
6034,7,23.0,3.0,20.0,1.0,3,Kolkata,NLC India,630,8.7,5481.0
6035,21,22.0,2.0,9.0,1.0,8,Noida,Ringfeder Power Transmission India Pvt. Ltd.,461,8.2,3780.2
6036,9,19.0,1.0,7.0,1.0,6,Kolkata,Kalpataru Power,297,8.7,2583.9
6037,9,20.0,3.0,8.0,7.0,10,Navi Mumbai,JSW Energy Ltd.,494,9.3,4594.200000000001
6038,6,21.0,0.0,16.0,1.0,10,Pune,Toshiba Transmission & Distribution Systems (India) Pvt. Ltd.,310,9.1,2821.0
6039,5,22.0,0.0,18.0,7.0,7,Navi Mumbai,Reliance Power,478,9.3,4445.400000000001
6040,14,23.0,2.0,18.0,1.0,3,Dahej,Sunil Hitech Eng,568,7.6,4316.8
6041,6,17.0,1.0,4.0,1.0,9,Noida,Ratnagiri Gas and Power Pvt. Ltd. (RGPPL),291,8.2,2386.2
6042,14,23.0,0.0,4.0,1.0,7,Mumbai,"Maha Transco – Maharashtra State Electricity Transmission Co, Ltd.",273,9.2,2511.6
6043,6,21.0,3.0,12.0,1.0,6,Dahej,"Maha Transco – Maharashtra State Electricity Transmission Co, Ltd.",476,7.6,3617.6
6044,5,23.0,2.0,11.0,1.0,11,Chennai,TransRail Lighting,564,8.8,4963.200000000001
6045,15,22.0,0.0,17.0,12.0,10,Ratnagiri,KEC International,498,7.4,3685.2
6046,15,22.0,0.0,10.0,1.0,3,Chennai,KEC International,384,8.8,3379.2000000000003
6047,11,22.0,0.0,7.0,1.0,5,Ahmedabad,Power Grid Corp,306,7.9,2417.4
6048,7,23.0,0.0,19.0,1.0,7,Ratnagiri,Reliance Energy,449,7.4,3322.6000000000004
6049,21,23.0,1.0,19.0,12.0,6,Pune,Torrent Power Ltd.,823,9.1,7489.299999999999
6050,12,23.0,3.0,13.0,1.0,1,Faridabad,"Maha Transco – Maharashtra State Electricity Transmission Co, Ltd.",483,8.1,3912.3
6051,12,23.0,3.0,7.0,12.0,3,Hyderabad,Reliance Energy,570,8.4,4788.0
6052,9,17.0,2.0,20.0,1.0,6,Chennai,Toshiba Transmission & Distribution Systems (India) Pvt. Ltd.,361,8.8,3176.8
6053,5,21.0,2.0,12.0,1.0,1,Chennai,Indowind Energy,506,8.8,4452.8
6054,13,22.0,1.0,19.0,12.0,2,Navi Mumbai,Ringfeder Power Transmission India Pvt. Ltd.,703,9.3,6537.900000000001
6055,8,21.0,0.0,3.0,7.0,1,Chennai,Optibelt Power Transmission India Private Limited,276,8.8,2428.8
6056,18,22.0,0.0,4.0,1.0,6,Kolkata,GE T&D India Limited,369,8.7,3210.3
6057,21,22.0,0.0,14.0,12.0,4,Hyderabad,Reliance Power,639,8.4,5367.6
6058,21,22.0,3.0,11.0,12.0,9,Gurgaon,NTPC Pvt. Ltd.,735,8.3,6100.500000000001
6059,8,19.0,3.0,5.0,7.0,4,Nagpur,Guj Ind Power,558,8.9,4966.2
6060,17,23.0,0.0,21.0,12.0,2,Kolkata,Orient Green,652,8.7,5672.4
6061,23,23.0,1.0,15.0,1.0,1,Gurgaon,Unitech Power Transmission Ltd.,511,8.3,4241.3
6062,11,22.0,3.0,15.0,1.0,5,Nagpur,Bonfiglioli Transmission Pvt. Ltd.,558,8.9,4966.2
6063,10,21.0,2.0,10.0,1.0,5,Vadodara,Guj Ind Power,473,7.8,3689.4
6064,17,23.0,1.0,22.0,1.0,5,New Delhi,JSW Energy Ltd.,633,8.5,5380.5
6065,7,17.0,0.0,16.0,7.0,11,Ahmedabad,Ratnagiri Gas and Power Pvt. Ltd. (RGPPL),441,7.9,3483.9
6066,8,20.0,2.0,19.0,1.0,6,Faridabad,NHPC,592,8.1,4795.2
6067,5,18.0,3.0,19.0,7.0,6,New Delhi,Guj Ind Power,441,8.5,3748.5
6068,16,23.0,2.0,5.0,1.0,12,Hyderabad,NHPC,617,8.4,5182.8
6069,23,22.0,0.0,10.0,1.0,10,Ahmedabad,NTPC Pvt. Ltd.,426,7.9,3365.4
6070,12,22.0,3.0,16.0,1.0,6,Navi Mumbai,Tata Power Company Ltd.,432,9.3,4017.6
6071,5,21.0,0.0,4.0,1.0,11,Dahej,TransRail Lighting,388,7.6,2948.8
6072,5,19.0,0.0,16.0,7.0,5,Navi Mumbai,JSW Energy Ltd.,524,9.3,4873.200000000001
6073,7,20.0,0.0,19.0,1.0,1,New Delhi,JSW Energy Ltd.,452,8.5,3842.0
6074,14,22.0,2.0,15.0,1.0,9,Ahmedabad,Sterlite Power Transmission Ltd,514,7.9,4060.6
6075,12,22.0,3.0,15.0,1.0,7,Pune,SJVN Ltd.,601,9.1,5469.099999999999
6076,16,23.0,3.0,22.0,1.0,8,Hyderabad,KEC International,559,8.4,4695.6
6077,17,23.0,0.0,22.0,12.0,6,Noida,Indowind Energy,566,8.2,4641.2
6078,16,22.0,1.0,11.0,1.0,5,Chennai,Sterlite Power Transmission Ltd,602,8.8,5297.6
6079,6,17.0,2.0,19.0,1.0,3,Hyderabad,SJVN Ltd.,454,8.4,3813.6
6080,20,23.0,0.0,9.0,12.0,7,Faridabad,Sterlite Power Transmission Ltd,661,8.1,5354.099999999999
6081,9,23.0,1.0,18.0,1.0,7,Chennai,Jyoti Structure,673,8.8,5922.400000000001
6082,19,23.0,2.0,16.0,1.0,2,Shimla,NLC India,678,7.7,5220.6
6083,5,17.0,2.0,6.0,1.0,1,Vadodara,"Maha Transco – Maharashtra State Electricity Transmission Co, Ltd.",382,7.8,2979.6
6084,15,23.0,1.0,5.0,1.0,10,Ratnagiri,SJVN Ltd.,325,7.4,2405.0
6085,10,23.0,2.0,20.0,1.0,9,Ratnagiri,L&T Transmission & Distribution,623,7.4,4610.2
6086,10,23.0,2.0,6.0,1.0,8,New Delhi,"Maha Transco – Maharashtra State Electricity Transmission Co, Ltd.",459,8.5,3901.5
6087,21,23.0,1.0,4.0,1.0,10,Ratnagiri,NTPC Pvt. Ltd.,609,7.4,4506.6
6088,15,23.0,0.0,15.0,1.0,6,Gurgaon,Sterlite Power Transmission Ltd,596,8.3,4946.8
6089,16,22.0,2.0,22.0,1.0,5,Ratnagiri,TransRail Lighting,504,7.4,3729.6
6090,8,20.0,1.0,12.0,1.0,3,Noida,Reliance Power,536,8.2,4395.2
6091,12,22.0,0.0,5.0,1.0,5,Ratnagiri,Torrent Power Ltd.,414,7.4,3063.6000000000004
6092,19,23.0,2.0,13.0,1.0,9,Ratnagiri,NTPC Pvt. Ltd.,690,7.4,5106.0
6093,9,23.0,2.0,22.0,7.0,8,Vadodara,Jyoti Structure,788,7.8,6146.4
6094,23,23.0,1.0,22.0,1.0,9,Mumbai,Ringfeder Power Transmission India Pvt. Ltd.,637,9.2,5860.4
6095,19,22.0,2.0,18.0,1.0,10,Pune,Adani Power Ltd.,674,9.1,6133.4
6096,23,22.0,3.0,19.0,1.0,4,New Delhi,Indowind Energy,754,8.5,6409.0
6097,6,21.0,0.0,16.0,1.0,2,Nagpur,Optibelt Power Transmission India Private Limited,252,8.9,2242.8
6098,16,23.0,3.0,11.0,1.0,3,Ratnagiri,Unitech Power Transmission Ltd.,596,7.4,4410.400000000001
6099,17,22.0,1.0,21.0,1.0,6,Hyderabad,Orient Green,665,8.4,5586.0
6100,23,22.0,0.0,15.0,1.0,2,Shimla,Optibelt Power Transmission India Private Limited,449,7.7,3457.3
6101,5,21.0,2.0,12.0,1.0,6,Noida,Bonfiglioli Transmission Pvt. Ltd.,371,8.2,3042.2
6102,10,20.0,2.0,9.0,1.0,10,Chennai,Reliance Power,307,8.8,2701.6000000000004
6103,20,23.0,3.0,14.0,1.0,1,Ahmedabad,Sunil Hitech Eng,661,7.9,5221.900000000001
6104,23,22.0,1.0,13.0,1.0,8,Chennai,Neueon Towers / Sujana Towers Ltd.,572,8.8,5033.6
6105,8,18.0,3.0,6.0,7.0,6,Ratnagiri,Power Grid Corp,509,7.4,3766.6
6106,19,23.0,0.0,16.0,1.0,7,Kolkata,Sunil Hitech Eng,604,8.7,5254.799999999999
6107,9,18.0,2.0,11.0,7.0,8,Mumbai,Adani Power Ltd.,439,9.2,4038.8
6108,10,23.0,1.0,4.0,1.0,12,Noida,Toshiba Transmission & Distribution Systems (India) Pvt. Ltd.,454,8.2,3722.8
6109,14,23.0,2.0,5.0,12.0,3,New Delhi,KEC International,494,8.5,4199.0
6110,13,22.0,1.0,6.0,1.0,6,Pune,Sterlite Power Transmission Ltd,551,9.1,5014.099999999999
6111,23,22.0,2.0,14.0,1.0,10,Chennai,Sunil Hitech Eng,645,8.8,5676.000000000001
6112,23,22.0,0.0,16.0,1.0,1,Dahej,Optibelt Power Transmission India Private Limited,463,7.6,3518.8
6113,13,23.0,0.0,9.0,1.0,5,Chennai,Bonfiglioli Transmission Pvt. Ltd.,546,8.8,4804.8
6114,14,23.0,0.0,3.0,12.0,10,Ratnagiri,CESC,484,7.4,3581.6000000000004
6115,13,23.0,2.0,6.0,1.0,1,Nagpur,NLC India,616,8.9,5482.400000000001
6116,17,23.0,0.0,13.0,1.0,12,Kolkata,Indowind Energy,451,8.7,3923.7
6117,13,23.0,3.0,8.0,1.0,11,Vadodara,SJVN Ltd.,448,7.8,3494.4
6118,5,23.0,2.0,10.0,7.0,12,Nagpur,Orient Green,603,8.9,5366.7
6119,23,22.0,2.0,11.0,1.0,6,Nagpur,SJVN Ltd.,457,8.9,4067.3
6120,6,17.0,2.0,13.0,7.0,4,Vadodara,KEC International,468,7.8,3650.4
6121,8,19.0,1.0,11.0,1.0,7,Gurgaon,Unitech Power Transmission Ltd.,490,8.3,4067.000000000001
6122,12,23.0,0.0,3.0,12.0,11,Chennai,Tata Power Company Ltd.,602,8.8,5297.6
6123,21,23.0,3.0,12.0,12.0,11,Vadodara,Orient Green,568,7.8,4430.4
6124,21,22.0,0.0,11.0,1.0,5,Gurgaon,Sunil Hitech Eng,562,8.3,4664.6
6125,11,22.0,1.0,13.0,12.0,7,Navi Mumbai,Bonfiglioli Transmission Pvt. Ltd.,500,9.3,4650.0
6126,11,23.0,1.0,6.0,1.0,2,Kolkata,Adani Power Ltd.,522,8.7,4541.4
6127,20,23.0,2.0,4.0,1.0,9,Chennai,Bonfiglioli Transmission Pvt. Ltd.,546,8.8,4804.8
6128,14,22.0,1.0,20.0,12.0,3,Shimla,TransRail Lighting,720,7.7,5544.0
6129,6,20.0,0.0,8.0,7.0,7,Hyderabad,Adani Power Ltd.,366,8.4,3074.4
6130,22,23.0,2.0,8.0,1.0,12,Hyderabad,Optibelt Power Transmission India Private Limited,680,8.4,5712.0
6131,13,22.0,1.0,9.0,12.0,4,Mumbai,SJVN Ltd.,446,9.2,4103.2
